제목,날짜,분류,본문,반응수
서울 초중고 '교사면담 예약제' 2학기 시범도입…대기실엔 CCTV,20230802,사회,"조희연 서울교육감, 학교 교육활동 보호 강화방안 발표교사와 전화·면담하려면 앱으로 예약해야…소송지원도 강화    서울교육감, '교원 보호' 추진방안 발표  조희연 서울시교육감이 2일 서울 종로구 서울시교육청에서 '교원의 교육활동 보호' 강화를 위한 우선 추진 방안을 발표하고 있다. 2023.8.2 hama@yna.co.kr      서울시교육청이 학부모가 교사와 면담하거나 통화하려면 예약해야 하는 제도를 시범 도입하고, 원하는 학교에는 민원인 대기실에 CC(폐쇄회로)TV를 설치하기로 했다.    교권침해 사안으로 분쟁이 발생할 경우 교원에게 학교교권보호위원회(교보위) 의결 없이도 소송비를 지원하기로 했다.    조희연 서울시교육감은 2일 서울시교육청에서 기자회견을 열고 ""정당한 생활지도가 아동학대로 둔갑할 수 있는 법적 구멍을 메워야 한다""며 이러한 방안을 발표했다. 교보위 등 소송비 지원 확인 절차 간소화…수사 단계부터 변호사비 지원    교육청은 교원의 '공적 보험'인 서울시교육청 '교원안심공제'의 소송 지원을 강화하기로 했다. 절차는 간소화하고 지원 범위는 확대하는 식이다.    이전에는 교원이 소송비를 지원받으려면 학교교권보호위원회 심의·의결을 거쳐야 했는데 앞으로는 사안 처리 결과를 확인할 수 있는 서류만 제출하면 소송비를 지원받을 수 있다.     또한 교권침해 피해를 본 교원으로 인정받았을 때만 소송비를 지원하던 것을 교육활동으로 소송 중인 교원으로 확대한다.    서울시교육청은 이를 위해 '교육활동보호조례' 제정을 추진 중이다.    서울교육감, '교원 보호' 추진방안 발표  조희연 서울시교육감이 2일 서울 종로구 서울시교육청에서 '교원의 교육활동 보호' 강화를 위한 우선 추진 방안을 발표하고 있다. 2023.8.2 hama@yna.co.kr    내년부터는 교사들이 아동학대로 신고된 경우 수사 단계부터 교육청에서 변호인 선임비를 지원하고, 교사에게 일부 과실이 있더라도 일정 부분 지원이 이뤄질 수 있도록 한다.    학부모나 교원 등이 법적 분쟁으로 가기 전에 조정을 해주는 '분쟁조정 서비스'도 강화한다.    교보위도 분쟁 조정 기능이 있지만 통상 학부모 측이 교보위를 중립적인 기관으로 인식하지 않아 실질적 역할을 못 한다는 지적을 받아 왔다.    서울시교육청은 교원안심공제에서 법률전문가와 분쟁조정 전문가가 개입해 분쟁 조정을 하는 사례를 분석하고 보완할 부분을 파악·개선하겠다고 밝혔다. 필요시 교보위와 별도로 분쟁조정위원회도 설치할 예정이다.    계속되는 추모  26일 서울 서초구 서이초등학교 곳곳에 담임교사 A씨를 추모하는 메시지와 국화가 놓여있다. 2023.7.26 yatoya@yna.co.kr  교사 만나려면 앱으로 예약…대기실엔 CCTV 설치    학부모 민원 부담을 줄이기 위해서는 '교사 면담 사전예약 시스템'을 9월부터 시범적으로 도입해 학교 민원창구 일원화할 계획이다.     교사와의 전화통화·면담을 원하는 학부모는 '서울학교안전 앱'을 통해 예약해야 한다. 일반적인 민원은 챗봇을 활용해 응대한다.    조 교육감은 ""일부 학부모의 악성 민원은 정상적 교육 활동 침해를 넘어서 교사 개인의 생존권을 위협한다""며 ""이 체계를 통해 교사에게 들어오는 민원을 일차적으로 시스템에서 분류해 교사에게 바로 전달되지 않도록 하겠다""고 밝혔다.     학교 출입 관리 강화를 위해 학교 안에 지능형 영상감시시스템이 구축된 민원인 대기실도 시범 운영한다.    학부모는 교사와 상담을 원할 때는 민원인 대기실에서 해야 한다. 이 역시 9월부터 희망 학교를 대상으로 시범 운영한다.    또한 악성 민원에 대비해 학교에서 쓰던 업무용 전화기를 녹음이 가능한 제품으로 교체하고 하게 통화 연결음을 설정하는 사업도 확대한다.    이번 달 발표될 교육부의 학생 생활지도 법령 관련 고시안을 토대로 학생들의 생활 규정 예시를 담은 가이드라인도 만들어 서울 초·중·고에 배포한다.     내년 3월부터는 마음건강 전문가가 학교에 방문하는 사업을 확대하고 초등학교 전문 상담 인력도 확대 배치할 계획이다.    초등학교의 신규 위클래스(Wee class·교내 상담기구) 지정 비율을 높이고 전문 상담 인력도 확대 배치한다. 마음 건강 전문가가 학교를 방문하는 사업도 현행 4개 거점 병원에서 11개로 확대해 문제행동 학생의 심리 치료 연계를 돕는다.    조 교육감은 ""선생님들께서 자신의 교육 전문성이 강화되는 가운데 행복하게 아이들을 만날 수 있도록 저와 서울시교육청이 가장 앞에서 부단히 노력하겠다""고 밝혔다.",175
목포문학상 수상자 발표…박화성 소설상에 김혜빈 '그라이아이',20230802,생활,"목포문학관[목포시 제공·재판매 및 DB 금지]      전남 목포시는 2일 제15회 목포문학상 최종 수상자와 작품을 발표했다.    목포문학상은 전국 유일의 문학을 테마로 하는 문학박람회의 대표 프로그램이다.     시는 지난 5월 한 달간 박화성소설상(장편소설), 목포작가상(본상·작품상)을 총상금 8천만원을 내걸고 공모해 300여명이 접수하는 등 전국적인 관심을 받았다.     목포 출신으로 우리나라 최초의 여성장편소설가인 박화성의 이름을 건 박화성소설상(상금 7천만원)에는 김혜빈(경기도)의 장편소설 '그라이아이'가 선정됐다.    광주 출신인 김혜빈은 한국예술종합학교 영화과와 동대학원 서사창작과를 졸업했으며 2023년 동아일보 신춘문예에 당선됐다.    지역작가 발굴 양성을 위한 목포작가상 본상에는 동화집 '꿈을 파는 달빛 과자점'(김미승·광주광역시)이 선정됐다.    문학을 주제로 한 전국 유일의 박람회인 목포문학박람회는 '작가를 꿈꾸는 문학 유토피아'라는 주제로 디지털문학관, 청년신진작가관(주제관), 골목길 문학관 등 다양한 문학 관련 프로그램으로 오는 9월 14일부터 17일까지 목포문학관, 북교동 일대에서 개최된다.",0
일본 상장기업 평균 연봉은 5천755만원…2.2% 증가,20230802,세계,"일본 상장사의 평균 연봉이 638만엔(약 5천755만원)인 것으로 조사됐다고 산케이신문이 2일 보도했다.    기업정보 제공업체 제국데이터뱅크가 상장사 약 3천800곳의 2022년도 결산기(2022년 4월∼2023년 3월) 보고서를 분석한 결과에 따르면 평균 급여액은 638만엔으로 전년도보다 2.2% 늘었다.    일본 상장사 평균 급여액 추이[제국데이터뱅크 자료 캡처]    평균 급여액이 증가한 업체는 전체의 68.9%였으며 4곳 중 1곳은 30만엔 이상 늘었다.     조사 대상 중 평균 연봉이 1천만엔 이상인 기업은 134곳이었다.    제국데이터뱅크는 ""물가 상승과 인력 부족을 배경으로 상장사의 평균 급여가 최근 상승세를 보이고 있다""고 설명했다고 산케이는 전했다.",2
"中 10개성 2분기 성장률, 1분기보다 ↓…""도전 직면한 지역경제""",20230802,경제,"내수·수출 부진, 부동산 투자 감소가 원인으로 지목돼  중국의 10개 성·시·자치구의 2분기 국내총생산(GDP) 성장률이 1분기보다 떨어진 것으로 파악돼 주목된다.    중국 10개 성·시·자치구 1·2분기 경제성장률[중국 제일재경 캡처, 재판매 및 DB 금지]     수출과 내수 부진에다 부동산 투자가 감소한 것이 주원인으로 꼽히는 가운데 이들 지역의 경제 성장이 도전에 직면한 것 아니냐는 분석도 나온다.    중국 전체의 2분기 GDP 성장률(6.3%)이 1분기(4.5%)보다 1.8% 포인트 상회한 것과 비교할 때 이들 10개 성·시·자치구 상황은 심각한 수준이다.    2일 중국 상하이 소재 경제매체인 제일재경에 따르면 지린성, 닝샤회족자치구, 톈진시, 산시(山西)성, 헤이룽장성, 충칭시, 허난성, 산시(陝西)성, 후난성, 광시좡족자치구 등의 2분기 GDP 성장률이 하락했다.    광시좡족자치구(-2.1% 포인트), 산시(陝西)성(-1.6% 포인트), 허난성(-1.2% 포인트), 닝샤회족자치구(-1.0% 포인트) 등의 2분기 GDP 성장률 감소 폭이 컸다.    중서부 제조업 허브인 충칭시의 경우 1분기(4.70%) 대비 2분기(4.60%) GDP 성장률이 0.1% 포인트 하락했으며, 컴퓨터 장비와 자동차 내수·수출 부진이 하락의 주요 원인으로 작용했다.    충칭시 통계국에 따르면 지난 3월 초소형 컴퓨터 장비와 차량 생산량은 각각 800만6천700대, 차량 19만3천900대였으나, 4월에 각각 520만1천900대와 15만8천900대로 떨어졌다.    충칭시 당국자는 세계적인 경기 침체 여파로 수출이 어려움을 겪고 중국 내 전자제품·자동차 소비가 감소하는 상황에서 안팎의 불확실성이 현지 경제의 발목을 잡는 상황이라고 설명했다.    허난성과 산시(山西)성의 상황도 충칭시와 비슷하다.    허난성은 건설 경기 부진에 따른 화학·건축 자재의 소비 감소로 이어졌다. 산시(山西)성(-0.3% 포인트)은 석탄 채굴 감소에 따른 광업 등의 위축이 경제성장률 저하로 이어지는 원인이 됐다.    시진핑 중국 국가주석은 2030년 탄소 배출 정점을 찍고, 2060년에는 탄소 중립을 실현하겠다는 '쌍탄(雙炭)' 목표를 공언했다. 그러나 중국은 코로나19 팬데믹(대유행) 시기에 에너지 부족을 이유로 화력발전소 가동을 늘렸고 이를 위한 석탄 채굴량도 급증했다.    지난해 중국은 전년보다 10.5% 늘어난 45억6천만t(톤)의 석탄을 생산해 사상 최대치를 기록했으며 산시(山西)성의 석탄 채굴량은 중국 전체의 30% 가까이를 차지한다.    그러나 올해 들어 중국이 세계적인 기후변화 위기 대처에 동참해 태양광·풍력 등 신재생에너지 생산을 확대하면서 석탄 채굴량이 줄었다.    [그래픽] 중국 경제성장률 추이      0eun@yna.co.kr    트위터 @yonhap_graphics  페이스북 tuney.kr/LeYN1     부동산 투자감소도 GDP 성장률을 낮추는 요인이다. 광시좡족자치구가 대표적이다. 광시 사회과학원 지역경제연구소의 우젠 소장은 ""올해 상반기 이 지역의 소매 판매총액은 전년 동기 대비 3.8% 증가했고 대외 수출도 51.7% 늘었지만, 이 기간에 자산 투자가 21.1% 감소하면서 경제성장률 저하로 이어졌다""고 짚었다.    우 소장은 ""광시좡족자치구의 상반기 부동산 개발 투자는 작년 상반기와 비교할 때 43.4% 줄었으며, 이에 따라 내수 부진이 확대됐다""고 덧붙였다.    부동산 개발 투자 감소는 사실상 중국 대부분 지역에서 현실화했다.    부동산 거품을 우려한 중국 당국의 투기 단속으로 최대 부동산 개발업체인 헝다(恒大·에버그란데)가 2021년 말 도산 위기에 처한 데 이어 중국 내 대다수 부동산 기업이 수년째 유동성 위기로 허덕여왔으며, 부동산 개발 투자는 찾아보기가 쉽지 않다.",1
Blue Jays' Ryu Hyun-jin gives up 4 runs in 5 innings in return from injury,20230802,세계,"MLB pitcher-return Blue Jays' Ryu Hyun-jin gives up 4 runs in 5 innings in return from injuryBy Yoo Jee-ho   SEOUL, Aug. 2 (Yonhap) -- Ryu Hyun-jin of the Toronto Blue Jays struggled in his first major league start in 14 months, constantly pitching with traffic on the bases against a division rival.    In this Canadian Press photo via Associated Press, Toronto Blue Jays starter Ryu Hyun-jin pitches against the Baltimore Orioles during the top of the first inning of a Major League Baseball regular season game at Rogers Centre in Toronto on Aug. 1, 2023. (Yonhap)Ryu surrendered four runs on nine hits in five innings against the Baltimore Orioles at Rogers Centre in Toronto on Tuesday (local time), and left the game with the Orioles leading 4-3 following Gunnar Henderson's solo shot to begin the top of the sixth.   This was Ryu's first start since June 1 last year. He underwent Tommy John surgery to repair ligament damage later that month, the second time he has required that operation in his career.   With Ryu's return, the Blue Jays will be running a six-man rotation, as they're in the midst of a tough stretch of 17 games in 17 days.   Ryu gave up a run after only four pitches into his outing. Leadoff man Adley Rutschman jumped on Ryu's first-pitch fastball for a double off the right-center field wall. Then Ryan Mountcastle hit a double to left-center on a third-pitch cutter for a 1-0 Orioles lead.   Anthony Santander's single put runners at the corners, and a fielder's choice grounder by Henderson brought in Mountcastle to put the O's up 2-0.    In this Getty Images photo, Toronto Blue Jays starter Ryu Hyun-jin reacts to a hit by the Baltimore Orioles during the top of the first inning of a Major League Baseball regular season game at Rogers Centre in Toronto on Aug. 1, 2023. (Yonhap)Ryu escaped the inning with his first strikeout of the day, as Jordan Westburg fanned on a high changeup.   The Orioles opened the second inning with another double, this time off the bat of Ramon Urias. He moved to third on a sacrifice bunt, and Rutschman cashed him in with a two-out single up the middle that gave the Orioles a 3-0 cushion.   Ryu's batterymate, Danny Jansen, cut that deficit to 3-2 with a two-run blast in the bottom of the second inning.   Ryu served up a single to Santander to begin the third inning but erased him on a double play ball by Austin Hays. Ryu then struck out Henderson looking at a fastball.   Ryu's teammates did their part to get Ryu off the hook, with Brandon Belt tying the game at 3-3 with a solo homer in the bottom third.    In this Canadian Press photo via Associated Press, Toronto Blue Jays starter Ryu Hyun-jin wipes off sweat while pitching against the Baltimore Orioles during the top of the first inning of a Major League Baseball regular season game at Rogers Centre in Toronto on Aug. 1, 2023. (Yonhap)Ryu tried to hold up his end of the bargain, too. He pitched around a leadoff single by Westburg in the fourth inning. And with two runners on with one out in the fifth, Ryu cleaned up the mess by getting Hays to bounce into his second double play of the game.   Right-handed reliever Trevor Richards began warming up in the bullpen during the top fifth, but Ryu went back out to open the sixth inning.   The decision to keep Ryu in the game didn't pay off for the Blue Jays, as Ryu served up a leadoff homer to Henderson to put the Orioles back on top at 4-3.   Richards was called in from the bullpen to end Ryu's night after 80 pitches, 54 of them for strikes.   The Orioles led off four of their six innings against Ryu with a hit -- a home run, two singles and two doubles.    In this Getty Images photo, Toronto Blue Jays starter Ryu Hyun-jin pitches against the Baltimore Orioles during the top of the first inning of a Major League Baseball regular season game at Rogers Centre in Toronto on Aug. 1, 2023. (Yonhap",0
"문화재청, 산성 유적 '장수 침령산성' 사적 지정",20230802,생활,문화재청이 산성 유적인 '장수 침령산성'을 사적으로 지정했다고 2일 밝혔다. 사진은 장수 침령산성에서 출토된 목간. 가시광 편집한 사진. 2023.8.2 [문화재청 제공. 재판매 및 DB 금지],0
눈 찢어졌다고 놀림당했던 입양아…베스트셀러 작가로 '우뚝',20230802,사회,"미국 작가 니콜 정 회고록 '내가 알게 된 모든 것'친부모 찾아가는 여정 담은, 상실과 회복에 관한 이야기    니콜 정 [원더박스 제공. 재판매 및 DB금지]      ""넌 너무 못생겼어. 그러니까 네 부모님도 널 버렸지!""    자기 두 눈을 양옆으로 쭉 잡아당기더니 비아냥거리면서 엄마 친구 아들이 했던 말이었다. 평소라면 반격을 했을 테지만, 그날은 어떤 앙갚음의 욕설도 목구멍에 턱 걸려 사그라지고 말았다. 엄마, 아빠와 전혀 닮지 않았던 건 사실이었으니까 말이다. 친구들이 지켜보는 가운데 초등학교 2학년 아이는 아무 말 없이 뒤돌아섰다. 그리고 들었다. 고요하고 깊은 무언가, 소중한 무언가가 부서지는 소리를.     미국 작가 니콜 정이 쓴 '내가 알게 된 모든 것'(원제: All You Can Ever Know)은 입양된 소녀의 이야기를 다룬 저자의 회고록이다. 한 소녀가 성장하면서 겪게 되는 성장통과 가족의 의미를 찾아가는 긴 여정을 그렸다.    어린 시절의 저자[원더박스 제공. 재판매 및 DB금지]    저자는 조산아로 태어났다. 미국에 이민 온 한국인 친부와 친모는 인큐베이터 비용을 치를 만한 의료보험도, 돈도 없었다. 최선의 선택은 입양을 보내는 것이었다. 때마침 독실한 가톨릭교도인 백인 부부가 입양할 아이를 찾고 있었다. 서로의 조건이 맞으면서 입양은 순풍에 돛달 듯 진행됐다.    아이는 새 가정에서 엄마 아빠의 사랑 속에 무럭무럭 자랐다. 커 가면서 글쓰기를 좋아했고, 문해력이 뛰어났다. 학교 성적도 우수했다. 하지만 애들과 다른 피부색 탓에 일상적 괴롭힘에 시달렸다. 학교에서 이른바 '왕따'를 당한 것이다. 양부모에겐 그 사실을 털어놓지 못했다. 아이는 점점 자신 안으로만 침잠해 들어갔다.     ""나는 자주 생각했다. 만약 내가 동화 속 주인공이고 요정이 내게 소원을 들어주겠다고 한다면, 복숭앗빛 감도는 크림색 피부와 수영장 물처럼 짙은 푸른색 눈동자, 칠흑이 아닌 금실 같은 머리카락을 달라고 할 거라고.""    양부와 저자[원더박스 제공. 재판매 및 DB금지]    겹겹이 쌓여가는 치욕 속에 마음 한편엔 ""늘 양부모님을 닮았으면 좋겠다는 생각""이 자리했다. 동시에 친모와 만나는 상상의 나래도 폈다. 자신이 태어난 시애틀의 한 거리에서 지나가다가 운명적으로 이끌리는 장면을.     시골 소도시를 벗어나고픈 생각에 동부에 있는 존스홉킨스대학에 진학한 그는 그곳에서 많은 동양인 학생을 보며 입양인이자 아시아인이란 정체성이 자기만의 유산이 아님을 깨닫는다. 그리고 용기를 내어 친부모의 행적을 찾기 시작한다.     양모와 함께[원더박스 제공. 재판매 및 DB금지]    책은 한 소녀가 겪은 차별과 따돌림, 정체성에 대한 고민과 깊이 모를 상실감, 친가족을 찾아 나서며 새롭게 마주한 진실과 대면하는 이야기 등을 담았다. 마음속에서 휘몰아친 수십 년의 세월이 담긴 웅숭깊은 서사가 던져주는 힘이 있는 작품이다.    누구나 삶의 얘기는 복잡다단하다. 달콤한 줄 알았지만 먹어보면 쓴 열매 같은 걸 인생에선 자주 만난다. 저자의 이야기도 그렇다. 뿌리를 찾아 나선 건 오랜 꿈이자 열망이지만, 어쩌면 판도라의 상자를 여는 위험한 일이었는지도 모른다. 친부모를 찾은 게 마냥 행복한 일만은 아닐 수도 있었다.     ""나는 망설였다. 문득 친모에게 들은 적 있는 말이 스치듯 떠올랐다. '입양에 대해 사람들이 알아야 하는 게 있다면, 이건 결코 끝나지 않는다는 거야. 절대 끝이란 없어.'…이제 내가 알게 된 모든 것을 다시 검토하고 다시 배워 내 아이들에게 전해 주어야 했다. 애비(저자의 딸)도 언젠가는 내 친모에 대해 알아야 할 테니까.""    니콜 정 [원더박스 제공. 재판매 및 DB금지]    만사형통은 아니지만 친부모를 찾으며, 친자매를 얻으며, 저자는 그렇게 어른이 되어 갔다. 피부색이 달라 백인 아이들의 놀림감이 됐던 그가 유년의 상처를 딛고, 이제 딸아이와 함께 새롭게 시작하는 일은 한글을 배우는 것이다.     ""나는 우리의 참고서 맨 앞장을 다시 펼쳤다. 그리고 새로 배워 이제 익숙해진 글자 행렬을 죽 훑어보았다. 그것들은 우리 둘을 위해 음절과 문장, 나아가 새로운 이야기로 바뀌길 기다리고 있었다. 나는 딸에게 고개를 끄덕이며 그 궁금증 가득한 표정에 미소로 답했다. '그래, 처음부터 시작해보자.'""     책은 미국에서 베스트셀러에 올랐다. 작품성도 인정받았다. 전미도서비평가협회상 최종 후보에 올랐으며 워싱턴포스트·타임·보스턴글로브 등 주요 매체에서 올해의 책으로 선정됐다.    원더박스. 정혜윤 옮김. 360쪽.",86
"우리은행, 취약계층 원금상환 지원제도 1년 연장",20230802,경제,"우리은행[우리은행 제공. 재판매 및 DB 금지]      우리은행은 2019년부터 시행 중인 '금융 취약계층 지원제도'를 1년 연장한다고 2일 밝혔다.    2019년부터 우리은행이 시행 중인 금융 취약계층 원금상환 지원제도는 개인신용대출 연장 시 연 6%를 초과하는 이자 금액만큼 대출원금을 자동으로 상환 처리해주는 제도다.    예를 들어 1천만원을 빌린 고객이 연 10%의 금리를 적용받고 있다면 4%포인트(p)의 이자에 해당하는 연 40만원을 원금 상환으로 처리해주고, 조기 상환 시에도 중도상환해약금을 면제한다.     저신용자 및 고위험 다중채무자 중 성실하게 이자를 납부한 차주의 자립을 돕기 위해 도입됐다.    우리은행 관계자는 ""앞으로도 성실하게 거래하는 취약계층에게 실질적으로 도움이 되는 상생 금융을 실천하겠다""고 밝혔다.",0
Yoon leaves for 7-day summer vacation,20230802,세계,"Yoon-summer vacation Yoon leaves for 7-day summer vacation   SEOUL, Aug. 2 (Yonhap) -- President Yoon Suk Yeol went on a weeklong summer vacation on Wednesday, with destinations mostly outside of Seoul, his office said.   Yoon plans to spend his time visiting various spots across the country until next Tuesday, including spending a few days at a presidential retreat on Jeo Island off the south coast, the office said.   ""President Yoon is not coming to work today,"" a presidential official said. ""Many of his staff also went on vacation.""   Yoon is expected to make surprise visits to traditional markets and other places in provincial regions to help boost domestic consumption, officials said.    Yoon had earlier canceled his vacation plans in the wake of deadly downpours.   Last year, Yoon took five days off but stayed at his private home in Seocho-dong in southern Seoul.    President Yoon Suk Yeol speaks during a Cabinet meeting at the presidential office on Aug. 1, 2023. (Yonhap)",0
김익래 전 회장 친형도 폭락 이전 150억원어치 매도,20230802,사회,"키움증권[연합뉴스 자료사진]     김잔디  SG(소시에테제네랄)증권발 폭락 사태 직전 다우데이타 주식을 대거 매도해 수사선상에 오른 김익래(73) 전 다우키움그룹 회장의 친형도 폭락 이전 150억원어치를 팔아치운 것으로 확인됐다.    2일 법조계와 금융투자업계에 따르면 서울남부지검과 금융당국 합동수사팀은 김 전 회장의 친형 김모(74)씨가 지난해 12월 말부터 올해 4월 초까지 다우데이타 주식을 매도한 정황을 확인했다.     다우키움그룹 지주사인 다우데이타는 4월24일 돌연 하한가를 기록한 8개 종목 중 하나다.    키움증권 측은 김씨의 거래가 김 전 회장이나 폭락 사태와는 무관하다는 입장이다.    키움증권 관계자는 ""이 기간 매도한 주식의 80%는 올해 3월까지 매도한 것이어서 김 전 회장의 매도와는 관련이 없다""며 ""김씨가 개인적 판단에 따라 매도한 것으로 안다""고 말했다.    당시 김씨의 거래내역은 공시되지 않았다. 그가 대표로 있는 부동산 투자업체가 다우키움그룹에서 분리되고 2019년 8월 공정거래위원회로부터 친족독립경영을 인정받아 특수관계인에서 제외됐다.    금융감독원은 김씨의 거래를 더 조사할 필요가 있다고 보고 검찰에 수사 참고자료로 넘겼다. 다만 검찰은 김 전 회장의 미공개정보 이용 혐의에 우선 주력한다는 방침이다.    검찰은 김 전 회장이 다우데이타 주식을 처분하는 과정에 키움증권 이사회 의장으로서 회사를 통해 파악한 미공개 정보를 활용한 것으로 의심한다. 자본시장법은 금융투자업자가 직무상 알게 된 미공개 정보를 정당한 사유 없이 자기 또는 제3자의 이익을 위해 이용하지 못하도록 규정한다.    당시 김 전 회장은 폭락 2거래일 전 다우데이타 140만주를 시간외매매로 처분해 605억원을 확보했다. 이러한 사실이 알려지면서 그가 시세조종 정황이나 폭락 조짐을 알고 있었던 게 아니냐는 의혹이 제기됐다. 김 전 회장은 논란이 커지자 다우키움그룹 회장과 키움증권 이사회 의장에서 물러났다.",17
회의 참석하는 박광온,20230802,정치,더불어민주당 박광온 원내대표가 2일 국회 당 사무실에서 열린 최고위 회의에 참석하고 있다. 2023.8.2,0
회의 참석하는 박광온,20230802,정치,더불어민주당 박광온 원내대표가 2일 국회 당 사무실에서 열린 최고위 회의에 참석하고 있다. 2023.8.2,0
"한화손보, 운전자 상해보험 신상품 출시…여성 특화 서비스도",20230802,없음,"[한화손해보험 제공]      한화손해보험은 운전자 상해보험 신상품을 출시했다고 2일 밝혔다.    이 상품은 업계 최초로 일반 교통사고로 인한 중상해(4∼7급) 시 보장을 확대한 대인 형사 합의 실손비와 자동차 사고 변호사 선임비용을 탑재했다. 변호사 선임비용의 경우 사고 확정과 관계없이 50%를 선지급한다.    한화손해보험은 출산·육아 중인 여성 고객을 위해 다양한 보험료 할인 혜택을 제공한다.     만 12세 이하의 자녀가 있는 부모의 경우 신청 시부터 보험료 2%를 납입기간 동안 계속 할인해주며, 가입 기간에 출산하는 경우 1년간 보험료 납입면제 서비스도 제공한다.    여성 운전자를 위한 전용 안심 상담 서비스도 신설했다. 자동차 사고 시 여성 고객 전문 상담 채널을 통해 사고 및 법률 관련 등의 상담을 받을 수 있다.    자녀의 교통사고 위험도 대비할 수 있도록 스쿨존 어린이 교통사고 발생금과 자동차 사고 부상 발생금을 신설했다.",0
"한온시스템, 미국 테네시에 신규사업장 설립…1억7천만달러 투자",20230802,경제,"한온시스템 로고[한온시스템 제공. 재판매 및 DB 금지]  차량 열관리 부품 업체 한온시스템이 미국 테네시주에 새로운 생산 거점을 마련한다.    2일 테네시주에 따르면 한온시스템은 테네시주 동부 라우던(Loudon) 카운티 내 '헌팅던 파크' 신규 사업장에 1억7천만달러(약 2천200억원)를 투자해 신규 사업장을 설립한다.    한온시스템은 이곳에서 생산한 전기차용 열관리 솔루션을 북미 시장 자동차 제조업체에 공급할 예정이다.     이번 사업장 설립으로 한온시스템이 라우던 카운티에서 창출하는 일자리는 600여개에 달한다.    1986년 창립한 한온시스템은 자동차 공조(HVAC), 파워트레인 쿨링, 컴프레서, 유압제어 시스템 등을 생산하는 업체로 현재 21개국에 임직원 2만2천여명이 근무한다.    빌 리 테네시 주지사는 ""테네시주는 자동차 산업의 중심지""라며 ""한온시스템이 일자리를 신설해 이 지역과 테네시 주민들에게 기회를 준 데 대해 감사하다""고 말했다.    한온시스템 측은 신규 사업장과 관련한 구체적 내용은 오는 10일 정기 이사회 승인 이후 공개할 수 있다고 설명했다.",2
[표] 류현진 볼티모어 오리올스전 이닝별 투구,20230802,스포츠,"류현진 2일(한국시간) 볼티모어 오리올스전 이닝별 투구 ※ 볼티모어 타순 = ① 애들리 러치맨(포수·스위치히터) ② 라이언 마운트캐슬(1루수·우타자) ③ 안토니 산탄데르(우익수·스위치히터) ④ 오스틴 헤이스(좌익수·우타자) ⑤ 거너 헨더슨(지명 타자·좌타자) ⑥ 조던 웨스트버그(2루수·우타자) ⑦ 라몬 우리아스(3루수·우타자) ⑧ 라이언 매케너(중견수·우타자) ⑨ 호르헤 마테오(유격수·우타자)     ※ 1회 무사 2루에서 3번 산탄데르 안타 때 2루 주자 3루 진루.     ※ 1회 1사 1, 3루에서 5번 헨더슨 2루 땅볼 때 3루 주자 득점, 1루 주자 2루에서 포스 아웃.      기사제공 연합뉴스 장현구",0
"국립수목원, 8일부터 10월 6일까지 '열대 수련' 전시회",20230802,정치,"산림청 국립수목원은 오는 8일부터 10월 6일까지 수목원 내 열대식물자원센터 앞 광장에서 '서머 블룸 : 달빛 아래 화려한 초대!'라는 주제로 열대 수련 전시회를 연다고 2일 밝혔다.    국립수목원 열대 수련 전시회[국립수목원 제공. 재판매 및 DB 금지]    전시회 수요 수종은 열대 아마존에서 자생하는 빅토리아 수련 2종, 호주 지중해성 기후에서 자생하는 기간티아 수련 등이다.    열대 수련은 낮에 피는 종과 밤에 피는 종이 있으며 빅토리아 수련은 해 질 녘에 개화해 다음 날 오전에 꽃이 지는 식물이다.    전시회에서는 (재)세미원에서 기증한 열대 수련도 함께 볼 수 있다.    전시한 열대 수련에 대한 자세한 설명은 열대식물자원센터 앞 광장에서 정해진 시간에 숲해설사에게 들을 수 있다.    국립수목원은 반딧불 체험, 밤하늘의 별 관람 등 야간 전기 기획도 준비 중으로 이달 말 국립수목원 누리집을 통해 참가 신청을 받을 방침이다.    진혜영 국립수목원 전시교육연구과장은 ""국립수목원을 방문하는 이들에게 열대 수련의 아름다움과 소중함을 전하는 전시회가 되길 바란다""고 말했다.    국립수목원은 2008년 열대식물자원센터를 설립한 뒤 2012년부터 숲해설사 안내와 함께 개방하고 있다. 이번 전시회는 예전보다 규모가 크고 수목원을 방문하는 시민은 누구나 무료로 관람할 수 있다.",0
백제·신라의 전략적 요충지…정교하게 축조된 고대 집수 시설 주목,20230802,생활,문화재청이 산성 유적인 '장수 침령산성'을 사적으로 지정했다고 2일 밝혔다.      옛 문헌 등에 따르면 침령산성 일대는 낙동강 유역의 신라 세력과 금강 유역을 중심으로 한 백제 세력의 접경 지역에 위치한 전략적 요충지 역할을 했다. 사진은 장수 침령산성 1호 집수시설. 2023.8.2 [문화재청 제공. 재판매 및 DB 금지],0
회의하는 박광온,20230802,정치,더불어민주당 박광온 원내대표가 2일 국회 당 사무실에서 최고위 회의를 하고 있다. 오른쪽은 정청래 최고위원. 2023.8.2,0
최고위 발언하는 박광온,20230802,정치,더불어민주당 박광온 원내대표가 2일 국회 당 사무실에서 최고위 회의를 하고 있다. 2023.8.2,0
최고위 발언하는 박광온,20230802,정치,더불어민주당 박광온 원내대표가 2일 국회 당 사무실에서 최고위 회의를 하고 있다. 2023.8.2,0
